epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
29,1897.01,0.18121,0.87338,1,0.37046,0.001019,0.001019,0.001019
30,1915.71,0.14723,0.91234,1,0.39849,0.00101075,0.00101075,0.00101075
31,1934.54,0.17107,0.86039,1,0.6022,0.0010025,0.0010025,0.0010025
32,1953.09,0.14525,0.87987,1,0.41577,0.00099425,0.00099425,0.00099425
33,1971.75,0.17492,0.9026,1,0.32957,0.000986,0.000986,0.000986
34,1990.36,0.13141,0.88636,1,0.50378,0.00097775,0.00097775,0.00097775
35,2008.9,0.12387,0.89286,1,0.34231,0.0009695,0.0009695,0.0009695
36,2027.63,0.12018,0.90584,1,0.31589,0.00096125,0.00096125,0.00096125
37,2046.17,0.11945,0.8961,1,0.35808,0.000953,0.000953,0.000953
38,2064.94,0.11898,0.88636,1,0.46912,0.00094475,0.00094475,0.00094475
39,2083.55,0.14104,0.88961,1,0.41213,0.0009365,0.0009365,0.0009365
40,2102.06,0.10918,0.92857,1,0.32681,0.00092825,0.00092825,0.00092825
41,2120.73,0.10167,0.88636,1,0.56536,0.00092,0.00092,0.00092
42,2139.5,0.12199,0.93182,1,0.33633,0.00091175,0.00091175,0.00091175
43,2158.07,0.11301,0.90584,1,0.35173,0.0009035,0.0009035,0.0009035
44,2176.67,0.10292,0.89935,1,0.36921,0.00089525,0.00089525,0.00089525
45,2195.23,0.09959,0.90909,1,0.38125,0.000887,0.000887,0.000887
46,2213.79,0.11333,0.89935,1,0.44102,0.00087875,0.00087875,0.00087875
47,2232.47,0.10973,0.91234,1,0.35112,0.0008705,0.0008705,0.0008705
48,2250.93,0.09861,0.90584,1,0.34429,0.00086225,0.00086225,0.00086225
49,2269.46,0.0827,0.91558,1,0.36545,0.000854,0.000854,0.000854
50,2288.08,0.08037,0.8961,1,0.33009,0.00084575,0.00084575,0.00084575
51,2306.69,0.08692,0.91558,1,0.37373,0.0008375,0.0008375,0.0008375
52,2325.37,0.06955,0.91558,1,0.35707,0.00082925,0.00082925,0.00082925
53,2343.99,0.05222,0.91883,1,0.33866,0.000821,0.000821,0.000821
54,2362.57,0.0844,0.91883,1,0.33289,0.00081275,0.00081275,0.00081275
55,2381.21,0.08414,0.88636,1,0.42683,0.0008045,0.0008045,0.0008045
56,2399.74,0.07342,0.89935,1,0.32671,0.00079625,0.00079625,0.00079625
57,2418.37,0.07781,0.92532,1,0.35933,0.000788,0.000788,0.000788
58,2437,0.06361,0.91883,1,0.39314,0.00077975,0.00077975,0.00077975
59,2455.66,0.10819,0.90909,1,0.35029,0.0007715,0.0007715,0.0007715
60,2474.23,0.08946,0.87987,1,0.50073,0.00076325,0.00076325,0.00076325
61,2492.97,0.08024,0.90909,1,0.33792,0.000755,0.000755,0.000755
62,2511.88,0.08191,0.91234,1,0.34644,0.00074675,0.00074675,0.00074675
63,2530.61,0.06017,0.93182,1,0.36851,0.0007385,0.0007385,0.0007385
64,2549.26,0.05489,0.91234,1,0.32498,0.00073025,0.00073025,0.00073025
65,2567.98,0.05426,0.91558,1,0.41089,0.000722,0.000722,0.000722
66,2586.71,0.08332,0.8961,1,0.58491,0.00071375,0.00071375,0.00071375
67,2605.51,0.07326,0.92208,1,0.33395,0.0007055,0.0007055,0.0007055
68,2624.14,0.0505,0.90584,1,0.40679,0.00069725,0.00069725,0.00069725
69,2642.91,0.06187,0.9026,1,0.42549,0.000689,0.000689,0.000689
70,2661.77,0.05182,0.91558,1,0.35553,0.00068075,0.00068075,0.00068075
71,2680.49,0.04842,0.91558,1,0.32566,0.0006725,0.0006725,0.0006725
72,2699.1,0.0532,0.91558,1,0.38007,0.00066425,0.00066425,0.00066425
