frames_processed,fish_count_mean,fish_count_std,fish_count_max,speed_mean,speed_std,speed_max,vertical_speed_mean,vertical_speed_std,vertical_speed_max,tilt_mean,tilt_std,tilt_max,angle_change_mean,angle_change_std,angle_change_max,bbox_area_mean,bbox_area_std,bbox_area_max,surface_count_mean,middle_count_mean,bottom_count_mean,surface_ratio,middle_ratio,bottom_ratio,track_count_estimate,video_file,label
175,1.1714285714285715,0.39175169145148814,2.0,3.5714897276486632,3.5922492869695257,37.030392922571046,-0.028350515463917526,1.5950859980127827,5.5,32.549539437977344,8.148530251979576,50.527540151656176,61.00750753934543,52.43910625976787,180.0,33194.453658536586,7352.432862602145,41464.0,1.1714285714285715,0.0,0.0,1.0,0.0,0.0,11,dead_or_moribund_fish.mp4,dead_or_moribund_floating
240,0.925,0.760071268588238,3.0,13.283018426622677,12.810264331980214,69.85162847063768,-0.6580310880829016,15.756967379348483,69.5,37.84384925562121,15.163916823549053,71.38430799266897,65.21782691702185,56.36968873321267,180.0,117716.21621621621,62132.99671184943,229041.0,0.058333333333333334,0.6166666666666667,0.25,0.06306306306306306,0.6666666666666666,0.2702702702702703,29,dead_or_moribund_floating.mp4,dead_or_moribund_floating
86,0.6162790697674418,0.6676687079049114,2.0,3.2327552441121106,4.045743878653918,23.547823678633232,1.2,2.7586228448267445,14.0,38.87835942434829,6.238026777137081,64.17900802581072,41.46040484453726,48.531102452976626,179.99999879258172,7213.396226415094,7254.526842663769,33572.0,0.46511627906976744,0.12790697674418605,0.023255813953488372,0.7547169811320755,0.20754716981132076,0.03773584905660377,13,dead_or_moribund_floating10.mp4,dead_or_moribund_floating
89,0.9662921348314607,0.7412324720211523,3.0,3.659864701141228,4.984443407605924,26.196373794859472,0.42142857142857143,2.254575845896065,8.5,37.80188760449474,4.0871465516026,50.59933933652057,73.12931221467758,62.534532081342334,180.0,47105.06976744186,19167.72635628835,64960.0,0.8876404494382022,0.0,0.07865168539325842,0.9186046511627907,0.0,0.08139534883720931,16,dead_or_moribund_floating11.mp4,dead_or_moribund_floating
113,0.6548672566371682,0.7379703270580313,3.0,8.162099832430163,7.238131180913357,26.0,-0.8541666666666666,4.922269053890583,18.5,40.378332393896244,11.842841508789999,61.551752420999776,67.82990251502832,61.613525865317435,174.6495372200691,42498.22972972973,34181.5401747419,112726.0,0.035398230088495575,0.2743362831858407,0.34513274336283184,0.05405405405405406,0.4189189189189189,0.527027027027027,26,dead_or_moribund_floating12.mp4,dead_or_moribund_floating
75,1.4,0.5416025603090642,3.0,4.091148556071709,6.065861992328392,40.18084120572888,0.12376237623762376,3.417634771107566,16.5,35.61744411870887,8.411309091771656,48.74850404635326,83.10717655278043,63.67749889690845,180.0,49758.50476190476,30140.92859065759,95739.0,0.8933333333333333,0.5066666666666667,0.0,0.638095238095238,0.3619047619047619,0.0,4,dead_or_moribund_floating13.mp4,dead_or_moribund_floating
97,0.711340206185567,0.6414989355094453,3.0,14.553815248347963,15.030703198454532,73.49319696407281,-3.0288461538461537,14.223292604555137,73.0,41.78723509288005,10.156991877651885,58.79948539601937,84.17535464006775,66.18359682094709,179.9187294452723,54756.217391304344,37355.348701811105,108704.0,0.09278350515463918,0.4639175257731959,0.15463917525773196,0.13043478260869565,0.6521739130434783,0.21739130434782608,17,dead_or_moribund_floating14.mp4,dead_or_moribund_floating
110,1.190909090909091,0.6535977988370432,3.0,5.7226305820501295,6.06211737584546,32.882366094914765,-0.9330357142857143,5.1631833410223,23.0,50.49666418447217,12.952062014664671,72.12130340415867,66.4483764223548,60.807916612990034,180.0,29670.870229007633,31035.541352278055,88445.0,0.08181818181818182,0.2818181818181818,0.8272727272727273,0.06870229007633588,0.2366412213740458,0.6946564885496184,19,dead_or_moribund_floating15.mp4,dead_or_moribund_floating
126,1.753968253968254,0.7936904751984623,4.0,6.934917835971441,7.731480269479112,46.45696933722647,0.39215686274509803,9.316501134393683,46.0,29.656006268539702,15.922693843396114,60.887168502763956,64.30858980939615,55.15067300717401,180.0,52921.280542986424,32765.77658288701,112812.0,0.5476190476190477,1.1666666666666667,0.03968253968253968,0.31221719457013575,0.665158371040724,0.02262443438914027,17,dead_or_moribund_floating16.mp4,dead_or_moribund_floating
105,2.6095238095238096,2.3237704914754715,11.0,43.83953466144009,22.393177038633496,79.13437938089866,-3.490506329113924,32.503333398624086,77.5,25.648519239690614,13.206820516266337,73.94001269283936,68.27463328123834,58.86337477073679,178.590307430465,2936.616788321168,4527.705724411806,36500.0,0.5714285714285714,1.7333333333333334,0.3047619047619048,0.21897810218978103,0.6642335766423357,0.11678832116788321,116,dead_or_moribund_floating2.mp4,dead_or_moribund_floating
189,1.9523809523809523,2.086199842009679,14.0,33.17250421159536,25.849548581407607,79.9640544244725,-0.6388888888888888,30.1611029246218,74.0,33.5032214824197,15.302822517728746,81.4391104288354,57.10233204879083,63.46298541033074,179.62029861382481,12155.235772357724,27012.607192469506,114325.0,0.5343915343915344,1.0793650793650793,0.3386243386243386,0.27371273712737126,0.5528455284552846,0.17344173441734417,207,dead_or_moribund_floating3.mp4,dead_or_moribund_floating
300,1.7433333333333334,1.7881430467262835,9.0,45.96179765071836,20.426166947243207,79.89524391351465,-3.5258964143426295,36.181651139445265,79.0,33.33956381099071,13.935339283648336,74.74488129694222,60.36183356835411,63.86820861255472,178.74526226035897,5115.85086042065,6408.044762897831,57974.0,0.6966666666666667,0.6966666666666667,0.35,0.39961759082217974,0.39961759082217974,0.20076481835564053,272,dead_or_moribund_floating4.mp4,dead_or_moribund_floating
241,1.7095435684647302,1.5508905884672826,9.0,42.02851656159979,21.57788148406262,79.01423922306662,0.7629107981220657,34.5438604639465,79.0,33.34349511832636,13.492723390825544,75.96375653207353,58.83829392576687,61.49843718946686,178.88253872746162,4963.4902912621355,6397.606313772538,59262.0,0.5062240663900415,0.7510373443983402,0.45228215767634855,0.2961165048543689,0.4393203883495146,0.2645631067961165,199,dead_or_moribund_floating5.mp4,dead_or_moribund_floating
241,1.7095435684647302,1.5508905884672826,9.0,42.02851656159979,21.57788148406262,79.01423922306662,0.7629107981220657,34.5438604639465,79.0,33.34349511832636,13.492723390825544,75.96375653207353,58.83829392576687,61.49843718946686,178.88253872746162,4963.4902912621355,6397.606313772538,59262.0,0.5062240663900415,0.7510373443983402,0.45228215767634855,0.2961165048543689,0.4393203883495146,0.2645631067961165,199,dead_or_moribund_floating6.mp4,dead_or_moribund_floating
280,0.6964285714285714,0.7396824332379514,4.0,21.024621613826415,19.39679242209117,71.70251041630272,0.1554054054054054,17.56453846026513,57.0,35.31427379664881,11.731836978683422,69.77514056883193,72.82833350968512,62.72693457730946,180.0,34861.338461538464,26160.409633119725,114654.0,0.21428571428571427,0.425,0.05714285714285714,0.3076923076923077,0.6102564102564103,0.08205128205128205,47,dead_or_moribund_floating7.mp4,dead_or_moribund_floating
91,2.3736263736263736,0.793494865869701,4.0,5.049651553238366,8.825382871424956,58.01939330947886,-0.06818181818181818,5.320452981329513,50.5,34.44367070821665,13.788359223277379,74.66671520694645,87.49755620401365,65.76934808965976,180.0,33323.76851851852,28326.463753361277,82806.0,1.043956043956044,1.3296703296703296,0.0,0.4398148148148148,0.5601851851851852,0.0,18,dead_or_moribund_floating8.mp4,dead_or_moribund_floating
86,0.6162790697674418,0.6676687079049114,2.0,3.2327552441121106,4.045743878653918,23.547823678633232,1.2,2.7586228448267445,14.0,38.87835942434829,6.238026777137081,64.17900802581072,41.46040484453726,48.531102452976626,179.99999879258172,7213.396226415094,7254.526842663769,33572.0,0.46511627906976744,0.12790697674418605,0.023255813953488372,0.7547169811320755,0.20754716981132076,0.03773584905660377,13,dead_or_moribund_floating9.mp4,dead_or_moribund_floating
226,4.491150442477876,3.0047766551407054,14.0,22.493595661777942,20.60217343839792,79.19122426127784,-0.9170644391408115,14.77972656705131,73.0,40.58435024320238,10.311467471476936,78.80488857370003,51.040657625489,58.54679536062913,180.0,17317.225615763546,25311.7458992911,585972.0,3.1194690265486726,1.1991150442477876,0.17256637168141592,0.6945812807881774,0.26699507389162563,0.03842364532019704,177,erratic_or_chasing.mp4,erratic_or_chasing
148,0.8986486486486487,1.0315290727379327,4.0,10.203882303741155,9.524130866366805,54.55730931781735,1.2727272727272727,5.726190373917645,20.5,25.389334064037982,11.549826797958954,54.674965361861986,62.75301325939444,62.17948477542568,179.0608090542646,35591.1954887218,62461.67471632344,322452.0,0.13513513513513514,0.6959459459459459,0.06756756756756757,0.15037593984962405,0.7744360902255639,0.07518796992481203,34,erratic_or_chasing2.mp4,erratic_or_chasing
